Šifra,Naziv Proizvoda,Nabavna (BEZ PDV),Nabavna (SA PDV),Prodajna Cijena (SA PDV),Marža (%),Pakiranje/min.količina
1001,Ogradni panel 2D 830x2500 6/5/6 RAL 7016,15.8,19.75,25.675,130.00%,1
1002,Ogradni panel 2D 1030x2500 6/5/6 RAL 7016,17.8,22.25,28.925,130.00%,1
1003,Ogradni panel 2D 1230x2500 6/5/6 RAL 7016,20.8,26,33.8,130.00%,1
1004,Ogradni panel 2D 1430x2500 6/5/6 RAL 7016,23.80307692,29.75384615,38.68,130.00%,1
1005,Ogradni panel 2D 1630x2500 6/5/6 RAL 7016,27.00307692,33.75384615,43.88,130.00%,1
1006,Ogradni panel 2D 1830x2500 6/5/6 RAL 7016,30,37.5,48.75,130.00%,1
1007,Ogradni panel 2D 2030x2500 6/5/6 RAL 7016,33.6,42,54.6,130.00%,1
1008,Ogradni panel 3D 1030x2500 4/4 RAL 7016,9.2,11.5,13.8,120.00%,1
1009,Ogradni panel 3D 1030x2500 5/5 RAL 7016,14.8,18.5,22.2,120.00%,1
1010,Ogradni panel 3D 1230x2500 4/4 RAL 7016,10.60307692,13.25384615,15.90461538,120.00%,1
1011,Ogradni panel 3D 1230x2500 5/5 RAL 7016,17.40307692,21.75384615,26.10461538,120.00%,1
1012,Ogradni panel 3D 1530x2500 4/4 RAL 7016,13.6,17,20.4,120.00%,1
1013,Ogradni panel 3D 1530x2500 5/5 RAL 7016,22,27.5,33,120.00%,1
1014,Ogradni panel 3D 1730x2500 4/4 RAL 7016,15.2,19,22.8,120.00%,1
1015,Ogradni panel 3D 1730x2500 5/5 RAL 7016,23.80307692,29.75384615,35.70461538,120.00%,1
1016,Ogradni panel 3D 2030x2500 4/4 RAL 7016,17.80307692,22.25384615,26.70461538,120.00%,1
1017,Ogradni panel 3D 2030x2500 5/5 RAL 7016,28.4,35.5,42.6,120.00%,1
1018,Ogradni panel 3D 830x2500 5/5 RAL 7016,12.60307692,15.75384615,18.90461538,120.00%,1
1019,Ogradni panel 3D 830x2500 4/4 RAL 7016,8.203076923,10.25384615,12.30461538,120.00%,1
1020,"Stup sa pločicom 0,85 m",7,8.75,11.375,130.00%,1
1021,"Stup sa pločicom 1,05 m",7.8,9.75,12.675,130.00%,1
1022,"Stup sa pločicom 1,25 m",8.8,11,14.3,130.00%,1
1023,"Stup sa pločicom 1,45 m",10.4,13,16.9,130.00%,1
1024,"Stup sa pločicom 1,55 m",10.4,13,16.9,130.00%,1
